#Kristallwinkel	Rate bei 35kV
#theta/	R(35kV)/Imp/s
#
 4.0	 91.0
 4.1	101.0
 4.2	111.0
 4.3	114.0
 4.4	124.0
 4.5	120.0
 4.6	135.0
 4.7	142.0
 4.8	138.0
 4.9	148.0
 5.0	158.0
 5.1	155.0
 5.2	160.0
 5.3	165.0
 5.4	172.0
 5.5	173.0
 5.6	164.0
 5.7	185.0
 5.8	182.0
 5.9	194.0
 6.0	184.0
 6.1	195.0
 6.2	196.0
 6.3	195.0
 6.4	208.0
 6.5	201.0
 6.6	205.0
 6.7	205.0
 6.8	194.0
 6.9	199.0
 7.0	209.0
 7.1	211.0
 7.2	209.0
 7.3	207.0
 7.4	209.0
 7.5	215.0
 7.6	220.0
 7.7	203.0
 7.8	218.0
 7.9	247.0
 8.0	311.0
 8.1	326.0
 8.2	338.0
 8.3	346.0
 8.4	329.0
 8.5	329.0
 8.6	326.0
 8.7	340.0
 8.8	326.0
 8.9	327.0
 9.0	329.0
 9.1	344.0
 9.2	328.0
 9.3	323.0
 9.4	318.0
 9.5	344.0
 9.6	323.0
 9.7	317.0
 9.8	330.0
 9.9	321.0
10.0	311.0
10.1	318.0
10.2	314.0
10.3	307.0
10.4	320.0
10.5	301.0
10.6	296.0
10.7	310.0
10.8	292.0
10.9	300.0
11.0	298.0
11.1	294.0
11.2	291.0
11.3	290.0
11.4	306.0
11.5	302.0
11.6	345.0
11.7	548.0
11.8   1508.0
11.9   2029.0
12.0   1812.0
12.1   1604.0
12.2   1323.0
12.3    551.0
12.4    398.0
12.5    384.0
12.6    344.0
12.7    353.0
12.8    415.0
12.9    515.0
13.0    990.0
13.1   5050.0
13.2   6336.0
13.3   5618.0
13.4   5166.0
13.5   4259.0
13.6   1760.0
13.7	486.0
13.8	375.0
13.9	268.0
14.0	255.0
14.1	244.0
14.2	226.0
14.3	211.0
14.4	224.0
14.5	215.0
14.6	219.0
14.7	200.0
14.8	193.0
14.9	192.0
15.0	186.0
15.1	180.0
15.2	190.0
15.3	169.0
15.4	168.0
15.5	175.0
15.6	155.0
15.7	160.0
15.8	167.0
15.9	150.0
16.0	159.0
16.1	168.0
16.2	173.0
16.3	166.0
16.4	168.0
16.5	168.0
16.6	165.0
16.7	162.0
16.8	159.0
16.9	157.0
17.0	157.0
17.1	157.0
17.2	166.0
17.3	153.0
17.4	150.0
17.5	162.0
17.6	154.0
17.7	141.0
17.8	141.0
17.9	150.0
18.0	138.0
18.1	141.0
18.2	143.0
18.3	135.0
18.4	141.0
18.5	141.0
18.6	145.0
18.7	134.0
18.8	146.0
18.9	147.0
19.0	144.0
19.1	146.0
19.2	151.0
19.3	148.0
19.4	142.0
19.5	139.0
19.6	132.0
19.7	138.0
19.8	138.0
19.9	142.0
20.0	128.0
20.1	141.0
20.2	133.0
20.3	139.0
20.4	133.0
20.5	128.0
20.6	127.0
20.7	129.0
20.8	129.0
20.9	126.0
21.0	133.0
21.1	136.0
21.2	131.0
21.3	129.0
21.4	121.0
21.5	134.0
21.6	136.0
21.7	131.0
21.8	130.0
21.9	123.0
22.0	132.0
22.1	130.0
22.2	132.0
22.3	121.0
22.4	127.0
22.5	122.0
22.6	129.0
22.7	127.0
22.8	126.0
22.9	124.0
23.0	131.0
23.1	119.0
23.2	129.0
23.3	123.0
23.4	127.0
23.5	133.0
23.6	128.0
23.7	122.0
23.8	125.0
23.9	133.0
