#  time [µs]	Amp[V]	HF [V]	TGC [dB]
0.0	0.477	-0.001	1.417
0.1	0.568	0.015	1.575
0.2	0.642	0.991	1.260
0.3	0.691	0.283	1.102
0.4	0.712	-1.016	1.575
0.5	0.704	-0.709	1.575
0.6	0.667	0.078	1.417
0.7	0.607	0.338	1.417
0.8	0.529	0.251	1.417
0.9	0.442	0.180	1.417
1.0	0.354	0.149	1.575
1.1	0.276	0.094	1.417
1.2	0.214	0.377	1.417
1.3	0.174	0.236	1.417
1.4	0.160	-0.166	1.417
1.5	0.172	-0.103	1.417
1.6	0.208	0.070	1.417
1.7	0.264	-0.166	1.417
1.8	0.333	0.117	1.417
1.9	0.407	0.385	1.417
2.0	0.479	0.299	1.417
2.1	0.541	0.551	1.417
2.2	0.588	0.125	1.417
2.3	0.614	-0.371	1.417
2.4	0.617	-0.544	1.417
2.5	0.599	-0.623	1.417
2.6	0.560	-0.449	1.417
2.7	0.504	-0.024	1.417
2.8	0.437	0.212	1.417
2.9	0.364	0.275	1.417
3.0	0.292	0.259	1.417
3.1	0.225	0.007	1.417
3.2	0.168	-0.072	1.417
3.3	0.124	-0.048	1.417
3.4	0.093	-0.079	1.417
3.5	0.076	0.047	1.417
3.6	0.071	0.062	1.417
3.7	0.076	-0.040	1.417
3.8	0.086	-0.087	1.417
3.9	0.100	-0.135	1.417
4.0	0.113	-0.135	1.417
4.1	0.123	-0.040	1.417
4.2	0.128	0.054	1.260
4.3	0.127	0.102	1.417
4.4	0.121	0.110	1.417
4.5	0.110	0.054	1.417
4.6	0.095	-0.001	1.417
4.7	0.078	-0.032	1.417
4.8	0.061	-0.048	1.417
4.9	0.045	-0.016	1.417
5.0	0.032	0.015	1.417
5.1	0.023	0.007	1.417
5.2	0.018	0.007	1.417
5.3	0.017	-0.016	1.417
5.4	0.019	-0.040	1.417
5.5	0.023	-0.032	1.417
5.6	0.029	-0.009	1.417
5.7	0.035	0.015	1.417
5.8	0.041	0.039	1.417
5.9	0.044	0.039	1.417
6.0	0.046	0.023	1.417
6.1	0.046	-0.009	1.417
6.2	0.044	-0.032	1.417
6.3	0.040	-0.040	1.417
6.4	0.035	-0.024	1.417
6.5	0.030	-0.009	1.417
6.6	0.024	0.007	1.417
6.7	0.019	0.015	1.417
6.8	0.015	0.007	1.417
6.9	0.012	-0.009	1.417
7.0	0.011	-0.009	1.417
7.1	0.010	-0.001	1.417
7.2	0.011	0.007	1.417
7.3	0.012	0.015	1.417
7.4	0.013	0.015	1.417
7.5	0.015	0.007	1.417
7.6	0.016	-0.009	1.417
7.7	0.016	-0.016	1.417
7.8	0.016	-0.016	1.417
7.9	0.015	-0.009	1.417
8.0	0.014	-0.001	1.417
8.1	0.013	-0.001	1.417
8.2	0.011	0.007	1.417
8.3	0.009	0.007	1.417
8.4	0.008	0.007	1.417
8.5	0.007	-0.001	1.417
8.6	0.006	-0.001	1.417
8.7	0.005	-0.001	1.417
8.8	0.005	-0.001	1.417
8.9	0.006	-0.001	1.417
9.0	0.006	-0.001	1.417
9.1	0.007	-0.001	1.417
9.2	0.008	-0.009	1.417
9.3	0.008	-0.009	1.417
9.4	0.009	-0.009	1.417
9.5	0.009	-0.009	1.417
9.6	0.010	-0.001	1.417
9.7	0.010	0.007	1.417
9.8	0.011	0.007	1.417
9.9	0.011	0.007	1.417
10.0	0.011	0.007	1.417
10.1	0.011	0.007	1.417
10.2	0.011	0.007	1.417
10.3	0.011	0.007	1.417
10.4	0.011	-0.001	1.417
10.5	0.010	-0.001	1.417
10.6	0.010	-0.009	1.417
10.7	0.010	-0.009	1.417
10.8	0.009	-0.009	1.417
10.9	0.008	-0.009	1.417
11.0	0.008	-0.001	1.417
11.1	0.007	-0.001	1.417
11.2	0.006	-0.001	1.417
11.3	0.005	0.007	1.417
11.4	0.005	-0.001	1.417
11.5	0.004	-0.001	1.417
11.6	0.004	-0.001	1.417
11.7	0.003	-0.001	1.417
11.8	0.003	-0.001	1.417
11.9	0.003	-0.001	1.417
12.0	0.003	-0.001	1.417
12.1	0.003	-0.001	1.417
12.2	0.003	-0.001	1.417
12.3	0.003	-0.001	1.417
12.4	0.003	-0.001	1.417
12.5	0.004	-0.001	1.417
12.6	0.004	-0.001	1.417
12.7	0.005	-0.001	1.417
12.8	0.006	0.007	1.417
12.9	0.006	-0.001	1.417
13.0	0.007	-0.001	1.417
13.1	0.007	-0.001	1.417
13.2	0.007	-0.001	1.417
13.3	0.007	-0.001	1.417
13.4	0.007	-0.001	1.417
13.5	0.007	-0.009	1.417
13.6	0.007	-0.009	1.417
13.7	0.006	-0.009	1.417
13.8	0.005	-0.001	1.417
13.9	0.005	-0.001	1.417
14.0	0.005	-0.001	1.417
14.1	0.004	-0.001	1.417
14.2	0.004	0.007	1.417
14.3	0.004	-0.001	1.417
14.4	0.005	-0.001	1.417
14.5	0.005	-0.001	1.417
14.6	0.006	-0.001	1.417
14.7	0.006	-0.001	1.417
14.8	0.007	-0.001	1.417
14.9	0.007	-0.001	1.417
15.0	0.007	-0.001	1.417
15.1	0.007	-0.009	1.417
15.2	0.007	-0.009	1.417
15.3	0.007	-0.009	1.417
15.4	0.006	-0.009	1.417
15.5	0.005	-0.001	1.417
15.6	0.005	-0.001	1.417
15.7	0.004	-0.001	1.417
15.8	0.003	-0.001	1.417
15.9	0.003	-0.001	1.417
16.0	0.003	-0.001	1.417
16.1	0.002	-0.001	1.417
16.2	0.002	-0.001	1.417
16.3	0.002	-0.001	1.417
16.4	0.002	-0.001	1.417
16.5	0.002	-0.009	1.417
16.6	0.002	-0.001	1.417
16.7	0.003	-0.001	1.417
16.8	0.003	-0.001	1.417
16.9	0.003	-0.001	1.417
17.0	0.003	-0.001	1.417
17.1	0.003	-0.001	1.417
17.2	0.003	-0.001	1.417
17.3	0.003	-0.001	1.417
17.4	0.003	-0.001	1.417
17.5	0.003	-0.001	1.417
17.6	0.004	0.007	1.417
17.7	0.004	-0.001	1.417
17.8	0.004	-0.001	1.417
17.9	0.005	-0.001	1.417
18.0	0.005	-0.009	1.417
18.1	0.005	-0.001	1.417
18.2	0.005	-0.001	1.417
18.3	0.005	-0.001	1.417
18.4	0.005	-0.001	1.417
18.5	0.004	0.007	1.417
18.6	0.004	-0.001	1.417
18.7	0.004	-0.001	1.417
18.8	0.003	-0.001	1.417
18.9	0.003	-0.001	1.417
19.0	0.003	-0.001	1.417
19.1	0.003	-0.001	1.417
19.2	0.003	-0.001	1.417
19.3	0.002	-0.001	1.417
19.4	0.002	-0.001	1.417
19.5	0.002	-0.001	1.417
19.6	0.002	-0.001	1.417
19.7	0.003	-0.001	1.417
19.8	0.003	-0.001	1.417
19.9	0.003	-0.001	1.417
20.0	0.003	-0.001	1.417
20.1	0.003	-0.001	1.417
20.2	0.003	-0.001	1.417
20.3	0.003	-0.001	1.417
20.4	0.003	-0.001	1.417
20.5	0.003	-0.001	1.417
20.6	0.003	-0.001	1.417
20.7	0.002	-0.001	1.417
20.8	0.002	-0.001	1.417
20.9	0.002	-0.001	1.417
21.0	0.002	-0.001	1.417
21.1	0.002	-0.001	1.417
21.2	0.003	-0.001	1.417
21.3	0.003	-0.001	1.417
21.4	0.003	-0.001	1.102
21.5	0.004	-0.001	2.677
21.6	0.004	-0.001	4.724
21.7	0.005	-0.001	6.299
21.8	0.005	0.007	7.402
21.9	0.006	-0.001	8.189
22.0	0.006	-0.001	8.819
22.1	0.006	-0.001	9.291
22.2	0.006	-0.001	9.606
22.3	0.006	-0.001	9.921
22.4	0.006	-0.001	10.394
22.5	0.005	-0.009	10.709
22.6	0.005	-0.001	11.024
22.7	0.005	-0.001	11.339
22.8	0.004	-0.001	11.654
22.9	0.004	-0.001	11.969
23.0	0.005	-0.001	12.441
23.1	0.005	-0.001	12.598
23.2	0.005	-0.001	12.913
23.3	0.006	-0.001	13.228
23.4	0.007	-0.001	13.543
23.5	0.008	-0.001	13.858
23.6	0.008	-0.001	14.173
23.7	0.009	-0.009	14.488
23.8	0.010	-0.001	14.803
23.9	0.010	-0.001	15.118
24.0	0.010	-0.009	15.433
24.1	0.010	-0.009	15.748
24.2	0.009	-0.009	16.063
24.3	0.009	-0.009	16.378
24.4	0.009	-0.009	16.693
24.5	0.008	-0.009	17.008
24.6	0.008	-0.009	17.323
24.7	0.007	-0.001	17.638
24.8	0.007	-0.009	17.953
24.9	0.008	-0.009	18.268
25.0	0.008	-0.001	18.583
25.1	0.009	-0.001	18.898
25.2	0.009	-0.001	19.213
25.3	0.010	-0.009	19.528
25.4	0.011	-0.009	19.843
25.5	0.012	-0.016	20.000
25.6	0.012	-0.016	20.315
25.7	0.012	-0.016	20.630
25.8	0.012	-0.009	20.945
25.9	0.012	-0.001	21.260
26.0	0.012	-0.001	21.575
26.1	0.011	-0.009	21.890
26.2	0.011	-0.016	22.205
26.3	0.010	-0.009	22.677
26.4	0.009	-0.001	22.992
26.5	0.008	-0.001	23.150
26.6	0.008	-0.001	23.465
26.7	0.007	-0.009	23.780
26.8	0.006	-0.009	24.094
26.9	0.006	-0.001	24.409
27.0	0.006	-0.009	24.724
27.1	0.006	-0.001	25.039
27.2	0.006	0.007	25.354
27.3	0.006	-0.001	25.669
27.4	0.007	0.007	25.984
27.5	0.007	-0.001	26.299
27.6	0.008	-0.001	26.614
27.7	0.008	-0.001	26.929
27.8	0.009	-0.001	27.244
27.9	0.010	-0.009	27.402
28.0	0.010	-0.009	27.874
28.1	0.010	-0.001	28.189
28.2	0.010	-0.016	28.346
28.3	0.010	-0.016	28.661
28.4	0.010	-0.009	29.134
28.5	0.010	-0.009	29.291
28.6	0.010	-0.001	29.606
28.7	0.010	-0.009	29.921
28.8	0.011	0.007	30.236
28.9	0.012	0.007	30.551
29.0	0.013	-0.001	31.024
29.1	0.015	-0.001	31.024
29.2	0.017	0.007	31.024
29.3	0.019	0.015	31.024
29.4	0.021	0.023	31.024
29.5	0.023	-0.001	31.024
29.6	0.025	-0.016	31.024
29.7	0.026	-0.032	30.866
29.8	0.026	-0.024	31.024
29.9	0.025	-0.016	31.024
30.0	0.024	-0.009	30.866
30.1	0.023	0.015	30.866
30.2	0.020	0.015	30.866
30.3	0.018	0.015	30.866
30.4	0.016	-0.001	30.866
30.5	0.013	0.007	31.024
30.6	0.011	-0.001	31.024
30.7	0.010	-0.009	30.866
30.8	0.009	-0.009	31.024
30.9	0.009	-0.016	30.866
31.0	0.010	-0.001	30.866
31.1	0.011	-0.001	31.024
31.2	0.012	-0.009	31.024
31.3	0.013	-0.016	30.866
31.4	0.015	-0.009	30.866
31.5	0.016	0.007	30.866
31.6	0.017	-0.001	30.866
31.7	0.018	0.015	30.866
31.8	0.019	0.015	30.866
31.9	0.019	0.015	30.866
32.0	0.018	0.015	30.866
32.1	0.018	0.015	30.866
32.2	0.017	0.007	30.866
32.3	0.016	-0.001	31.024
32.4	0.016	-0.016	30.866
32.5	0.015	-0.009	30.866
32.6	0.015	-0.016	30.866
32.7	0.015	-0.009	30.866
32.8	0.016	-0.009	30.866
32.9	0.017	-0.009	30.866
33.0	0.018	-0.009	30.866
33.1	0.019	-0.024	30.866
33.2	0.020	-0.016	30.866
33.3	0.021	-0.009	30.866
33.4	0.022	-0.001	30.866
33.5	0.022	0.015	30.866
33.6	0.022	0.023	30.866
33.7	0.022	0.023	30.866
33.8	0.021	0.015	30.866
33.9	0.020	0.007	30.866
34.0	0.019	-0.001	30.866
34.1	0.018	-0.016	30.866
34.2	0.016	-0.001	30.866
34.3	0.015	-0.009	30.866
34.4	0.014	-0.009	30.866
34.5	0.013	-0.016	30.866
34.6	0.012	-0.016	30.866
